"_time","Logon_Type",ComputerName,EventCode
"2026-08-14T08:44:10.000+0700",3,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:44:10.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:44:10.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:44:10.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:09.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:08.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:08.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:08.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:07.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:06.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:06.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:06.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:05.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:04.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:04.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:03.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:03.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:02.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:02.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:01.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:01.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:00.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:44:00.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:59.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:59.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:58.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:58.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:57.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:57.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:56.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:56.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:55.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:55.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:54.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:54.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:53.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:53.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:52.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:51.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:51.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:51.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:49.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:49.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:49.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:49.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:43:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:43:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:43:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:43:27.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:42:22.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:42:22.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:42:22.000+0700",3,"DESKTOP-IUKE6AK",4625
"2026-08-14T08:42:22.000+0700",,"DESKTOP-IUKE6AK",5061
"2026-08-14T08:42:22.000+0700",,"DESKTOP-IUKE6AK",5058
